Line,XCo_m,YCo_m
9270,789032.047,1921686.986
9270,789032.058,1921693.104
9270,789032.069,1921699.222
9270,789032.08,1921705.34
9270,789032.082,1921711.448
9270,789032.084,1921717.556
9270,789032.086,1921723.664
9270,789032.088,1921729.772
9270,789032.09,1921735.88
9270,789032.092,1921741.988
9270,789032.094,1921748.096
9270,789032.096,1921754.204
9270,789032.098,1921760.312
9270,789032.1,1921766.42
9270,789032.097,1921772.521
9270,789032.094,1921778.622
9270,789032.091,1921784.723
9270,789032.088,1921790.824
9270,789032.085,1921796.925
9270,789032.082,1921803.026
9270,789032.079,1921809.127
9270,789032.076,1921815.228
9270,789032.073,1921821.329
9270,789032.07,1921827.43
9270,789032.097,1921833.535
9270,789032.124,1921839.64
9270,789032.151,1921845.745
9270,789032.178,1921851.85
9270,789032.205,1921857.955
9270,789032.232,1921864.06
9270,789032.259,1921870.165
9270,789032.286,1921876.27
9270,789032.313,1921882.375
9270,789032.34,1921888.48
9270,789032.405,1921894.594
9270,789032.47,1921900.708
9270,789032.535,1921906.822
9270,789032.6,1921912.936
9270,789032.665,1921919.05
9270,789032.73,1921925.164
9270,789032.795,1921931.278
9270,789032.86,1921937.392
9270,789032.925,1921943.506
9270,789032.99,1921949.62
9270,789033.077,1921955.742
9270,789033.164,1921961.864
9270,789033.251,1921967.986
9270,789033.338,1921974.108
9270,789033.425,1921980.23
9270,789033.512,1921986.352
9270,789033.599,1921992.474
9270,789033.686,1921998.596
9270,789033.773,1922004.718
9270,789033.86,1922010.84
9270,789033.973,1922016.971
9270,789034.086,1922023.102
9270,789034.199,1922029.233
9270,789034.312,1922035.364
9270,789034.425,1922041.495
9270,789034.538,1922047.626
9270,789034.651,1922053.757
9270,789034.764,1922059.888
9270,789034.877,1922066.019
9270,789034.99,1922072.15
9270,789035.146,1922078.288
9270,789035.302,1922084.426
9270,789035.458,1922090.564
9270,789035.614,1922096.702
9270,789035.77,1922102.84
9270,789035.926,1922108.978
9270,789036.082,1922115.116
9270,789036.238,1922121.254
9270,789036.394,1922127.392
9270,789036.55,1922133.53
9270,789036.744,1922139.671
9270,789036.938,1922145.812
9270,789037.132,1922151.953
9270,789037.326,1922158.094
9270,789037.52,1922164.235
9270,789037.714,1922170.376
9270,789037.908,1922176.517
9270,789038.102,1922182.658
9270,789038.296,1922188.799
9270,789038.49,1922194.94
9270,789038.691,1922201.077
9270,789038.892,1922207.214
9270,789039.093,1922213.351
9270,789039.294,1922219.488
9270,789039.495,1922225.625
9270,789039.696,1922231.762
9270,789039.897,1922237.899
9270,789040.098,1922244.036
9270,789040.299,1922250.173
9270,789040.5,1922256.31
9270,789040.687,1922262.435
9270,789040.874,1922268.56
9270,789041.061,1922274.685
9270,789041.248,1922280.81
9270,789041.435,1922286.935
9270,789041.622,1922293.06
9270,789041.809,1922299.185
9270,789041.996,1922305.31
9270,789042.183,1922311.435
9270,789042.37,1922317.56
9270,789042.537,1922323.676
9270,789042.704,1922329.792
9270,789042.871,1922335.908
9270,789043.038,1922342.024
9270,789043.205,1922348.14
9270,789043.372,1922354.256
9270,789043.539,1922360.372
9270,789043.706,1922366.488
9270,789043.873,1922372.604
9270,789044.04,1922378.72
9270,789044.164,1922384.824
9270,789044.288,1922390.928
9270,789044.412,1922397.032
9270,789044.536,1922403.136
9270,789044.66,1922409.24
9270,789044.784,1922415.344
9270,789044.908,1922421.448
9270,789045.032,1922427.552
9270,789045.156,1922433.656
9270,789045.28,1922439.76
9270,789045.345,1922445.856
9270,789045.41,1922451.952
9270,789045.475,1922458.048
9270,789045.54,1922464.144
9270,789045.605,1922470.24
9270,789045.67,1922476.336
9270,789045.735,1922482.432
9270,789045.8,1922488.528
9270,789045.865,1922494.624
9270,789045.93,1922500.72
9270,789045.948,1922506.823
9270,789045.966,1922512.926
9270,789045.984,1922519.029
9270,789046.002,1922525.132
9270,789046.02,1922531.235
9270,789046.038,1922537.338
9270,789046.056,1922543.441
9270,789046.074,1922549.544
9270,789046.092,1922555.647
9270,789046.11,1922561.75
9270,789046.098,1922567.871
9270,789046.086,1922573.992
