LINE,X,Y,LSYMB
2,-74707.87,6620842.11,102
2,-74744.43,6620876.21,102
2,-74781.00,6620910.31,102
2,-74817.57,6620944.41,102
2,-74854.14,6620978.51,102
2,-74890.70,6621012.61,102
2,-74927.27,6621046.71,102
2,-74963.84,6621080.81,102
2,-75000.41,6621114.91,102
2,-75036.97,6621149.01,102
2,-75073.54,6621183.11,102
2,-75110.11,6621217.21,102
2,-75146.68,6621251.31,102
2,-75183.24,6621285.41,102
2,-75219.81,6621319.51,102
2,-75256.38,6621353.61,102
2,-75292.95,6621387.71,102
2,-75329.52,6621421.81,102
2,-75366.08,6621455.91,102
2,-75402.65,6621490.01,102
2,-75439.22,6621524.11,102
2,-75475.79,6621558.21,102
2,-75512.35,6621592.31,102
2,-75548.92,6621626.41,102
2,-75585.49,6621660.51,102
2,-75622.06,6621694.61,102
2,-75658.62,6621728.71,102
2,-75695.19,6621762.81,102
2,-75731.76,6621796.91,102
2,-75768.33,6621831.01,102
2,-75804.90,6621865.11,102
2,-75841.46,6621899.21,102
2,-75878.03,6621933.31,102
2,-75914.60,6621967.41,102
2,-75951.17,6622001.51,102
2,-75987.73,6622035.61,102
2,-76024.30,6622069.71,102
2,-76060.87,6622103.81,102
2,-76097.44,6622137.91,102
2,-76134.00,6622172.01,102
2,-76170.57,6622206.11,102
2,-76207.14,6622240.21,102
2,-76243.71,6622274.31,102
2,-76280.28,6622308.41,102
2,-76316.84,6622342.51,102
2,-76353.41,6622376.61,102
2,-76389.98,6622410.71,102
2,-76426.55,6622444.81,102
2,-76463.11,6622478.91,102
2,-76499.68,6622513.01,102
2,-76536.25,6622547.11,102
2,-76572.82,6622581.21,102
2,-76609.38,6622615.31,102
2,-76645.95,6622649.41,102
2,-76682.52,6622683.51,102
2,-76719.09,6622717.61,102
2,-76755.66,6622751.71,102
2,-76792.22,6622785.81,102
2,-76828.79,6622819.91,102
2,-76865.36,6622854.01,102
2,-76901.93,6622888.11,102
2,-76938.49,6622922.21,102
2,-76975.06,6622956.31,102
2,-77011.63,6622990.41,102
2,-77048.20,6623024.51,102
2,-77084.76,6623058.61,102
2,-77121.33,6623092.71,102
2,-77157.90,6623126.81,102
2,-77194.47,6623160.91,102
2,-77231.04,6623195.01,102
2,-77267.60,6623229.11,102
2,-77304.17,6623263.21,102
2,-77340.74,6623297.31,102
2,-77377.31,6623331.41,102
2,-77413.87,6623365.51,102
2,-77450.44,6623399.61,102
2,-77487.01,6623433.71,102
2,-77523.58,6623467.81,102
2,-77560.14,6623501.91,102
2,-77596.71,6623536.01,102
2,-77633.28,6623570.11,102
2,-77669.85,6623604.21,102
2,-77706.42,6623638.31,102
2,-77742.98,6623672.41,102
2,-77779.55,6623706.51,102
2,-77816.12,6623740.61,102
2,-77852.69,6623774.71,102
2,-77889.25,6623808.81,102
2,-77925.82,6623842.91,102
2,-77962.39,6623877.01,102
2,-77998.96,6623911.11,102
2,-78035.52,6623945.21,102
2,-78072.09,6623979.31,102
2,-78108.66,6624013.41,102
2,-78145.23,6624047.51,102
2,-78181.80,6624081.61,102
2,-78218.36,6624115.71,102
2,-78254.93,6624149.81,102
2,-78291.50,6624183.91,102
3,-78712.41,6624254.30,103
3,-78677.05,6624218.94,103
3,-78641.69,6624183.59,103
3,-78606.34,6624148.23,103
3,-78570.98,6624112.88,103
3,-78535.63,6624077.52,103
3,-78500.27,6624042.17,103
3,-78464.92,6624006.81,103
3,-78429.56,6623971.46,103
3,-78394.21,6623936.10,103
3,-78358.85,6623900.75,103
3,-78323.50,6623865.39,103
3,-78288.14,6623830.03,103
3,-78252.79,6623794.68,103
3,-78217.43,6623759.32,103
3,-78182.08,6623723.97,103
3,-78146.72,6623688.61,103
3,-78111.36,6623653.26,103
3,-78076.01,6623617.90,103
3,-78040.65,6623582.55,103
3,-78005.30,6623547.19,103
3,-77969.94,6623511.84,103
3,-77934.59,6623476.48,103
3,-77899.23,6623441.13,103
3,-77863.88,6623405.77,103
3,-77828.52,6623370.42,103
3,-77793.17,6623335.06,103
3,-77757.81,6623299.70,103
3,-77722.46,6623264.35,103
3,-77687.10,6623228.99,103
3,-77651.75,6623193.64,103
3,-77616.39,6623158.28,103
3,-77581.03,6623122.93,103
3,-77545.68,6623087.57,103
3,-77510.32,6623052.22,103
3,-77474.97,6623016.86,103
3,-77439.61,6622981.51,103
3,-77404.26,6622946.15,103
3,-77368.90,6622910.80,103
3,-77333.55,6622875.44,103
3,-77298.19,6622840.09,103
3,-77262.84,6622804.73,103
3,-77227.48,6622769.37,103
3,-77192.13,6622734.02,103
3,-77156.77,6622698.66,103
3,-77121.41,6622663.31,103
3,-77086.06,6622627.95,103
3,-77050.70,6622592.60,103
3,-77015.35,6622557.24,103
3,-76979.99,6622521.89,103
3,-76944.64,6622486.53,103
